Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,exports,fertility_rate,gdp_current,gdp_growth,labor_force,life_expectancy,manufacturing,natural_resources,primary_energy_consumption,population,Total.including.LUCF,deaths_air_pollute,Total.excluding.LUCF
AFG,Afghanistan,1/1/90,98.89048802,58.32298422,void,7.565,void,void,2641964,45.967,void,void,2968.316,10694796,9579999.924,402.18,11970000.27
AGO,Angola,1/1/90,94.86309415,36.42192989,void,7.272,11228764963,-3.450098685,4889409,41.893,void,28.9385762,1972.4146,11828638,66160003.66,279.22,43150001.53
ALB,Albania,1/1/90,62.07845456,40.91240876,312500000,2.9,2028553750,-9.57564017,1374478,73.144,void,11.03545545,10214.598,3286542,11300000.19,146.67,11100000.38
AND,Andorra,1/1/90,37.50096255,48.93617021,void,void,1029048482,3.781387586,void,void,void,0,,53569,430000.0072,21.9,430000.0072
ARE,United Arab Emirates,1/1/90,44.33115765,4.012954097,void,4.537,50701443748,18.32798553,971329,71.9,3799509670,36.70714731,181538.77,1900151,73250000,172.13,73250000
ARG,Argentina,1/1/90,64.2132714,46.61287906,14643450361,3.034,1.41352E+11,-2.467213778,13417468,71.784,37867881956,2.593125853,15718.294,32637657,292649993.9,50.3,247300003.1
ARM,Armenia,1/1/90,54.92934923,41.09589041,789960888.1,2.713,2256838858,void,1621642,68.821,void,0,,3556539,24540000.92,128.96,24409999.85
ATG,Antigua and Barbuda,1/1/90,63.49624351,20.45454545,void,2.249,459470370.4,3.011714684,void,73.492,11570370.37,0,27613.479,63328,349999.994,47.03,349999.994
AUS,Australia,1/1/90,49.49637663,60.45546256,47071950750,1.902,3.11434E+11,3.576485761,8482919,76.99463415,42941900731,3.483265465,60597.098,17065128,541390014.6,13.45,4.87E+08
AUT,Austria,1/1/90,48.07348353,36.64444983,59423124773,1.46,1.66463E+11,4.345641399,3511975,75.56829268,32595386663,0.256065989,43648.84,7677850,63139999.39,44.59,76610000.61
AZE,Azerbaijan,1/1/90,63.82433135,53.42898687,3885196372,2.74,8858006036,void,3353958,62.352,1561933534,void,35077.66,7175200,74099998.47,146.78,75680000.31
BDI,Burundi,1/1/90,105.50654,82.16510903,89130244.37,7.365,1132101253,3.499822136,2546372,44.86,133812151.5,13.37103254,290.10657,5483793,7199999.809,319.56,1799999.952
BEL,Belgium,1/1/90,49.36856081,43.96709324,1.26512E+11,1.62,2.05332E+11,3.137402316,3945699,76.05195122,void,0.045671319,62387.53,9967379,126860000.6,46.56,130770004.3
BEN,Benin,1/1/90,97.32360621,20.13125222,375946872.3,6.732,1959965244,8.97613436,2015405,53.292,144567171,7.735932394,498.0654,5133419,19739999.77,269.19,4179999.828
BFA,Burkina Faso,1/1/90,101.1753454,34.99634503,340110071.2,7.009,3101300642,-0.602928478,4070828,49.44,457411329,6.816252438,223.28703,9131361,25520000.46,255.65,11989999.77
BGD,Bangladesh,1/1/90,86.51502979,79.78796958,1866930005,4.479,31598341233,5.622258162,35655781,55.989,4183373454,0.538114643,689.29553,107147651,116940002.4,284.11,94239997.86
BGR,Bulgaria,1/1/90,52.47822212,55.67206002,6833181818,1.82,20632090909,-9.117377096,3926494,71.64146341,void,1.107706629,37003.31,8718289,76470001.22,153.51,98220001.22
BHR,Bahrain,1/1/90,56.15404812,11.5942029,4887765691,3.758,4229787234,4.437997176,224600,72.668,707351329.8,39.99312487,145128.42,517418,15729999.54,218.47,15729999.54
BIH,Bosnia and Herzegovina,1/1/90,45.12258364,42.96875,void,1.794,void,void,1558150,72.349,void,void,,4494310,33529998.78,149.6,30260000.23
BLR,Belarus,1/1/90,50.88181925,46.27749744,9950000000,1.913,21650000000,void,4653509,70.83658537,8264000000,0.992593177,44682.484,10189348,104750000,94.06,137860000.6
BLZ,Belize,1/1/90,93.42055085,5.523893029,223500000,4.698,549500000,11.44338873,57879,70.744,63297236,0.763749696,7848.883,182589,13180000.31,78.6,6539999.962
BOL,Bolivia,1/1/90,79.90540013,32.72869934,1108688419,4.89,4867582598,4.635787428,2913824,56.422,825689315,7.263624799,3810.2156,7096194,112970001.2,180.48,31219999.31
BRA,Brazil,1/1/90,65.85127637,28.104339,32028709720,2.905,3.90726E+11,-4.35,62129128,65.985,89195353371,2.698599972,10136.53,150706446,1638680054,97.32,590340026.9
BRB,Barbados,1/1/90,54.55913259,44.18604651,867846666.3,1.74,2012131457,-3.307593308,132198,72.752,209516233.3,0.412401726,21252.285,258868,3109999.895,50.86,3109999.895
BTN,Bhutan,1/1/90,81.54280271,9.716841812,80434037.69,5.604,287658184,10.38311792,230669,55.968,23096122.22,6.262097518,6680.068,558442,-5820000.172,246.63,759999.9905
BWA,Botswana,1/1/90,94.33385533,45.91428017,2086912120,4.487,3790567052,6.772821949,434369,60.533,180838484.3,2.049023856,6672.773,1341474,54330001.83,203.39,13039999.96
CAF,Central African Republic,1/1/90,92.92232002,8.035570965,245892968.9,6.045,1440711396,-2.147528066,1078561,49.635,void,6.362185278,441.40274,2809221,46569999.69,353.37,16870000.84
CAN,Canada,1/1/90,46.9181901,6.848740574,1.49462E+11,1.83,5.9393E+11,void,14743717,77.42195122,void,2.891613824,108781.125,27691138,606909973.1,19.72,540380004.9
CHE,Switzerland,1/1/90,46.32210818,40.62081004,1.09915E+11,1.58,2.65764E+11,3.47455211,3803704,77.24243902,52805333285,0.038588239,49410.156,6715519,51330001.83,34.52,52779998.78
CHL,Chile,1/1/90,55.78488607,21.3830743,10760217715,2.579,33113887819,3.333565474,4910898,72.574,6130051149,11.17127087,11667.694,13342868,28090000.15,63.63,45259998.32
CHN,China,1/1/90,51.93035474,53.75169635,44932593282,2.514,3.60858E+11,3.920251368,639133931,68.005,void,8.233219327,6880.6626,1135185000,2891729980,280.8,3240290039
CIV,Cote d'Ivoire,1/1/90,98.85127266,59.52830189,3421191368,6.73,10795850107,-1.095908412,4131286,52.603,1883930644,4.08902476,1906.4135,11910540,69720001.22,255.01,9300000.191
CMR,Cameroon,1/1/90,99.91056027,19.39878572,2485421378,6.392,12314482085,-6.105697646,5047941,54.868,1745726968,11.86668259,1992.55,11430520,73610000.61,206.66,19520000.46
COL,Colombia,1/1/90,67.15541128,40.63361875,9024672480,3.082,47844090710,4.281998331,13855786,68.644,8627872018,7.009203013,7722.631,32601393,216210006.7,84.67,123410003.7
COM,Comoros,1/1/90,102.5649579,61.2573885,37963362.56,6.497,429622147.7,5.091236413,97829,55.84,void,0.733042704,618.34906,431119,319999.9928,238.8,259999.9905
CRI,Costa Rica,1/1/90,67.98623027,43.0591461,1952841381,3.205,5711687787,3.553063366,1166225,76.63,1106921564,3.293625364,6896.66,3158253,1.10E+07,47.77,8520000.458
CUB,Cuba,1/1/90,45.33584707,62.76536313,8662106516,1.804,28645436569,-2.948564945,4366972,74.039,2043887766,0.88888554,13711.038,10626680,44020000.46,54.16,54790000.92
CYP,Cyprus,1/1/90,52.62727973,17.38095238,2879463636,2.405,5591130218,7.403999507,351034,73.539,791513444.3,0.030395286,24444.53,788500,5369999.886,62.6,5440000.057
CZE,Czechia,1/1/90,51.45482066,55.41607351,13409039102,1.9,40728950705,void,4975962,71.38390244,void,1.427070019,53075.812,10333355,172529998.8,101.23,181960006.7
DEU,Germany,1/1/90,45.01678319,51.64838312,4.04576E+11,1.45,1.77167E+12,5.255006083,38653848,75.08563415,void,0.234304662,52823.883,79433029,1077160034,49.85,1128089966
DJI,Djibouti,1/1/90,87.76936991,56.03968939,void,5.982,452328087.3,void,120126,55.498,void,0.568218463,11923.405,577173,910000.0262,172.38,910000.0262
DMA,Dominica,1/1/90,72.85550801,24,void,void,201429629.6,5.417983566,void,void,11114814.81,0.04249033,3778.6187,69481,239999.9946,82.31,189999.9976
DNK,Denmark,1/1/90,48.49162663,69.7,50354023850,1.67,1.38247E+11,1.475244277,2905194,74.80536585,20550784022,0.540231969,39256.695,5140939,69190002.44,45.44,68839996.34
DOM,Dominican Republic,1/1/90,72.92725731,52.70130408,2165302159,3.411,7073675545,-5.454312395,2470572,67.11,1270371013,2.010174588,5703.2974,7129004,8510000.229,78.59,15760000.23
DZA,Algeria,1/1/90,85.0546101,16.23854829,14546469696,4.556,62048562947,0.80000058,6367101,67.416,void,17.70294276,12343.162,25518074,121400001.5,133.89,120739997.9
ECU,Ecuador,1/1/90,74.44672815,28.34128016,3469125960,3.744,15239278100,3.679914053,4048253,69.348,3403073297,13.1706912,7749.598,10449837,73519996.64,64.43,36939998.63
ERI,Eritrea,1/1/90,92.07767587,void,void,6.338,void,void,949353,49.769,void,void,,2149960,4119999.886,277.55,3690000.057
