,Country Code,Country Name,Year,age_dependency_ratio,agricultural_land,air_transport,airline_travel,birth_rate,exports,fertility_rate,gdp_current,gdp_growth,labor_force,life_expectancy,manufacturing,natural_resources,patent_applications,unemployment,Primary energy consumption per capita (kWh/person),"Government expenditure on education, total (% of GDP)",battery_electric_share,plugin_hybrid_share,battery_electric_number,plugin_hybrid_number,full_mild_hybrid_number,petrol_number,diesel_gas_number,Researchers in R&D (per million people),population,Total including LUCF
0,ABW,Aruba,1990-01-01,49.9577828,11.11111111,void,void,18.662,void,2.303,764804469.3,3.961401727,void,73.076,void,0.001552095,void,void,34868.008,void,void,void,void,void,void,void,void,void,65712.0,
1,AFE,Africa Eastern and Southern,1990-01-01,94.5801701,44.07743317,652.4999981,11257400.0,44.23071912,52194032768.0,6.166608433,253235000000.0,-0.032630147,121955049.0,50.60772753,42346817427.0,7.289594087,void,void,,,,,,,,,,,309890664.0,
2,AFG,Afghanistan,1990-01-01,98.89048802,58.32298422,9.399999619,241400.0,51.423,void,7.565,void,void,2641964.0,45.967,void,void,void,void,2968.316,void,void,void,void,void,void,void,void,void,10694796.0,9579999.923706057
3,AFW,Africa Western and Central,1990-01-01,94.97923585,35.12719743,259.9000045,3551000.0,44.67619439,30965147678.0,6.518278309,121802000000.0,6.600198632,74675274.0,48.65000339,18192526704.0,17.43649372,void,void,,,,,,,,,,,206739024.0,
4,AGO,Angola,1990-01-01,94.86309415,36.42192989,39.90000153,451500.0,51.344,void,7.272,11228764963.0,-3.450098685,4889409.0,41.893,void,28.9385762,void,void,1972.4146,void,void,void,void,void,void,void,void,void,11828638.0,66160003.662109375
5,ALB,Albania,1990-01-01,62.07845456,40.91240876,void,void,24.415,312500000.0,2.9,2028553750.0,-9.57564017,1374478.0,73.144,void,11.03545545,void,9.5,10214.598,void,void,void,void,void,void,void,void,void,3286542.0,11300000.190734863
6,AND,Andorra,1990-01-01,37.50096255,48.93617021,void,void,11.9,void,void,1029048482.0,3.781387586,void,void,void,0.0,void,void,,,,,,,,,,,53569.0,430000.0071525574
7,ARB,Arab World,1990-01-01,87.54191319,35.10930645,1753.599989,31484000.0,35.36568025,void,5.147725739,644066000000.0,12.11103524,61329175.0,62.92796703,62592113909.0,23.60019198,void,void,,,,,,,,,,,225923327.0,
8,ARE,United Arab Emirates,1990-01-01,44.33115765,4.012954097,145.1000061,1685900.0,25.923,void,4.537,50701443748.0,18.32798553,971329.0,71.9,3799509670.0,36.70714731,void,void,181538.77,void,void,void,void,void,void,void,void,void,1900151.0,73250000.0
9,ARG,Argentina,1990-01-01,64.2132714,46.61287906,213.6000061,5369100.0,21.989,14643450361.0,3.034,141352000000.0,-2.467213778,13417468.0,71.784,37867881956.0,2.593125853,955.0,7.059999943,15718.294,1.067379951,void,void,void,void,void,void,void,void,32637657.0,292649993.8964844
10,ARM,Armenia,1990-01-01,54.92934923,41.09589041,void,void,24.224,789960888.1,2.713,2256838858.0,void,1621642.0,68.821,void,0.0,void,void,,,,,,,,,,,3556539.0,24540000.915527344
11,ASM,American Samoa,1990-01-01,75.26022577,15.85,void,void,void,void,void,void,void,void,void,void,void,void,5.110000134,50297.26,void,void,void,void,void,void,void,void,void,47818.0,
12,ATG,Antigua and Barbuda,1990-01-01,63.49624351,20.45454545,0.200000003,755000.0,20.916,void,2.249,459470370.4,3.011714684,void,73.492,11570370.37,0.0,void,void,27613.479,void,void,void,void,void,void,void,void,void,63328.0,349999.9940395355
13,AUS,Australia,1990-01-01,49.49637663,60.45546256,1222.300049,17553400.0,15.4,47071950750.0,1.902,311434000000.0,3.576485761,8482919.0,76.99463415,42941900731.0,3.483265465,void,6.929999828,60597.098,4.676280022,void,void,void,void,void,void,void,void,17065128.0,541390014.6484375
14,AUT,Austria,1990-01-01,48.07348353,36.64444983,53.90000153,2532100.0,11.8,59423124773.0,1.46,166463000000.0,4.345641399,3511975.0,75.56829268,32595386663.0,0.256065989,2025.0,3.25,43648.84,4.957250118,void,void,void,void,void,void,void,void,7677850.0,63139999.38964844
15,AZE,Azerbaijan,1990-01-01,63.82433135,53.42898687,void,void,25.9,3885196372.0,2.74,8858006036.0,void,3353958.0,62.352,1561933534.0,void,void,void,35077.66,void,void,void,void,void,void,void,void,void,7175200.0,74099998.4741211
16,BDI,Burundi,1990-01-01,105.50654,82.16510903,void,8300.0,46.545,89130244.37,7.365,1132101253.0,3.499822136,2546372.0,44.86,133812151.5,13.37103254,void,0.479999989,290.10657,3.359329939,void,void,void,void,void,void,void,void,5483793.0,7199999.809265137
17,BEL,Belgium,1990-01-01,49.36856081,43.96709324,656.4000244,3132700.0,12.4,126512000000.0,1.62,205332000000.0,3.137402316,3945699.0,76.05195122,void,0.045671319,643.0,7.25,62387.53,void,void,void,void,void,void,void,void,void,9967379.0,126860000.61035156
