Index,Country_Code,Country_Name,Year,age_dependency_ratio,agricultural_land,fertility_rate,GDP,labor_force ,life_expectancy,natural_resources_rents,energy_consumption_per_capita  ,population ,GHG_with_LUCF  ,deaths_air_pollute,GHG_without_LUCF  
1,TJK,Tajikistan,1/1/90,88.6,32.07,5.34,2631768953,1372150,61.88,0.78,17274.67,5417860,17899999.62,192.5,17870000.84
2,TJK,Tajikistan,1/1/91,89.76,32.07,5.18,1352000000,1399115,61.38,0.65,15902.46,5556306,17010000.23,195.85,16969999.31
3,ARM,Armenia,1/1/91,55.7,41.1,2.65,2069870130,1645616,68.64,0,19601.42,3617631,25139999.39,134.21,25010000.23
4,GEO,Georgia,1/1/90,51.15,46.47,2.31,7753501868,2371540,68.39,0.48,24620.21,4802000,31399999.62,160.64,49759998.32
5,GEO,Georgia,1/1/92,52.86,46.47,2.13,3690328964,2443064,67.78,0.34,17979.8,4873500,14390000.34,161.89,32650001.53
6,LUX,Luxembourg,1/1/90,44.23,49.72,1.6,12778792854,157920,75.44,0.04,97439.53,381850,11550000.19,40.16,12189999.58
7,LUX,Luxembourg,1/1/91,44.82,49.72,1.6,13834219728,165345,75.46,0.02,103333.91,387000,12039999.96,38.6,12680000.31
8,LUX,Luxembourg,1/1/92,45.47,49.72,1.64,15518702635,172615,75.77,0.02,102274.26,392175,11739999.77,36.65,12380000.11
9,LUX,Luxembourg,1/1/93,46.18,49.72,1.7,15925521222,171764,75.71,0.02,102264.53,397475,11949999.81,35.25,12590000.15
10,LUX,Luxembourg,1/1/94,46.92,49.72,1.72,17701798891,173480,76.37,0.02,97028.69,402925,11100000.38,33.56,11739999.77
11,TKM,Turkmenistan,1/1/90,78.91,75.22,4.24,3188097768,1113708,63.94,77.75,40827.95,3720278,111389999.4,111.85,111389999.4
12,UKR,Ukraine,1/1/90,50.49,72.37,1.85,81393558423,24262168,70.1,3.35,61924.96,51891400,776109985.4,99.18,824830017.1
13,AZE,Azerbaijan,1/1/90,63.82,53.43,2.74,8858006036,3353958,62.35,27.6,35077.66,7175200,74099998.47,146.78,75680000.31
14,AZE,Azerbaijan,1/1/91,64.3,53.43,2.87,8792365811,3405558,62.05,27.6,33210.72,7271300,71660003.66,152.9,73239997.86
15,BLR,Belarus,1/1/90,50.88,46.28,1.91,21650000000,4653509,70.84,0.99,44682.48,10189348,104750000,94.06,137860000.6
16,IRQ,Iraq,1/1/90,94.59,21.1,5.88,1.80E+11,4147362,58.44,9.86,13462.37,17658381,120150001.5,172.89,120279998.8
17,AZE,Azerbaijan,1/1/92,64.74,53.43,2.74,446305555.6,3545509,61.3,27.6,28049.75,7382050,80739997.86,162.53,82319999.69
18,BLR,Belarus,1/1/91,51.36,46.28,1.81,18000000000,4644143,70.38,1.28,44456.22,10194050,99709999.08,95.35,132809997.6
19,IRQ,Iraq,1/1/91,93.53,22.02,5.81,407796349.7,4201883,62.52,38.22,8290.51,17846378,62790000.92,169.26,62919998.17
20,BLR,Belarus,1/1/92,51.75,46.28,1.76,17037037037,4659164,70.02,1.28,38484.07,10216470,86089996.34,96.47,119059997.6
21,IRQ,Iraq,1/1/92,92.64,21.84,5.72,553671957.7,4322873,66.71,38.22,12747.26,18385673,88750000,168.77,88870002.75
22,LUX,Luxembourg,1/1/95,47.59,49.72,1.7,20853093870,169267,76.51,0.02,83246.71,408625,8960000.04,32.06,9600000.38
23,LUX,Luxembourg,1/1/96,48.17,49.72,1.77,20895314658,171873,76.52,0.02,84460.58,414225,9039999.96,30.58,9680000.31
24,LUX,Luxembourg,1/1/97,48.61,49.72,1.71,19563836265,174574,76.88,0.02,81638.43,419450,8539999.96,28.6,9180000.31
25,LUX,Luxembourg,1/1/98,48.93,49.72,1.68,20150053345,177043,77.02,0.02,77878.61,424700,7869999.89,26.98,8510000.23
26,LUX,Luxembourg,1/1/99,49.2,49.72,1.74,21899317599,182734,77.77,0.02,81191.31,430475,8260000.23,25.12,8899999.62
27,AGO,Angola,1/1/90,94.86,36.42,7.27,11228764963,4889409,41.89,28.94,1972.41,11828638,66160003.66,279.22,43150001.53
28,AGO,Angola,1/1/94,96.56,36.92,6.99,4438321017,5527396,43.42,51.69,1765.6,13462031,73160003.66,269.94,50159999.85
29,GNQ,Equatorial Guinea,1/1/90,82.55,8.3,5.99,112119406.5,156528,50.86,20.97,1092.66,465549,4010000.23,306.68,170000
30,GNQ,Equatorial Guinea,1/1/91,83.43,8.23,5.99,110906032.1,161560,50.97,17.03,1052.91,483142,4150000.1,299.99,319999.99
31,GNQ,Equatorial Guinea,1/1/92,84.26,8.16,5.98,134707184.4,166853,51.11,20.16,1017.29,501334,5900000.1,290.99,2069999.93
32,GNQ,Equatorial Guinea,1/1/93,84.99,8.09,5.98,136047896.2,172406,51.31,28.07,977.7,520236,6079999.92,284.19,2250000
33,GNQ,Equatorial Guinea,1/1/94,85.56,8.02,5.98,100807001.8,178225,51.42,43.48,941.93,539992,6239999.77,277.09,2410000.09
34,GNQ,Equatorial Guinea,1/1/95,85.88,7.94,5.97,141853368.3,184401,51.59,44.1,907.04,560740,6420000.08,271.07,2589999.91
35,GNQ,Equatorial Guinea,1/1/96,85.99,7.87,5.96,232463036.4,190943,51.73,55.55,875.42,582573,6769999.98,263.65,2930000.07
36,GNQ,Equatorial Guinea,1/1/97,85.92,7.8,5.94,442337849.5,197880,52.06,60.4,947.67,605570,8300000.19,243.4,4460000.04
37,GNQ,Equatorial Guinea,1/1/98,85.69,7.73,5.91,370687618.7,205297,52.38,43.29,1255.44,629734,9479999.54,228.17,5650000.1
38,GNQ,Equatorial Guinea,1/1/99,85.18,7.66,5.88,621117885.7,213444,52.75,62,1207,655029,11130000.11,214.56,7300000.19
39,KAZ,Kazakhstan,1/1/91,59.24,82.03,2.61,24923076923,7911932,67.6,9.5,50520.64,16451711,304019989,133.37,304779998.8
40,MDV,Maldives,1/1/96,93.25,26.67,3.93,450382328,75365,68.7,0.01,5397.86,263841,349999.99,157.33,349999.99
